"Asset","Weight","MCR","CR","PCR"
"JPM",0.680970326119702,0.0671514584241765,0.0457281505425251,0.838371827601729
"XOM",0.0500000000000001,0.0427260750187779,0.0021363037509389,0.0391666152848563
"EEM",0.05,0.0276240936443726,0.00138120468221863,0.025322762455631
"GLD",0.169029673880297,0.00238198560930949,0.000402626250729144,0.00738167849911878
"BTC-USD",0.0500000000000001,0.0979142376887256,0.00489571188443628,0.0897571161586652
