"rebalance_date","asset","weight","MCR","CR","PCR"
2018-01-31,"JPM",0.799999999999997,0.0513907272467806,0.0411125817974243,1.04444454326587
2018-01-31,"XOM",0.05,0.00988246665640722,0.000494123332820361,0.0125529557157829
2018-01-31,"EEM",0.0500000000000005,-0.00998106012850936,-0.000499053006425473,-0.012678191603967
2018-01-31,"GLD",0.0499999999999978,-0.0235759365565406,-0.00117879682782698,-0.0299467428367666
2018-01-31,"BTC-USD",0.0500000000000001,-0.0113149757761097,-0.000565748788805488,-0.0143725645409159
2018-02-28,"JPM",0.8,0.0483644454708804,0.0386915563767043,1.0084051463362
2018-02-28,"XOM",0.0500000000000002,0.0193622414629171,0.000968112073145859,0.0252315825004725
2018-02-28,"EEM",0.05,-0.00811809898364973,-0.000405904949182486,-0.0105789654903983
2018-02-28,"GLD",0.0500000000000001,-0.015393982395024,-0.000769699119751203,-0.0200604117841815
2018-02-28,"BTC-USD",0.0499999999999999,-0.00230011116795719,-0.00011500555839786,-0.00299735156209679
2018-03-31,"JPM",0.8,0.0505858179951718,0.0404686543961374,0.950551773768563
2018-03-31,"XOM",0.0499999999999999,0.0183019262372229,0.000915096311861142,0.021494325309015
2018-03-31,"EEM",0.05,-0.00750554340505114,-0.000375277170252557,-0.0088147329127025
2018-03-31,"GLD",0.0500000000000002,-0.014006379238643,-0.000700318961932151,-0.016449507437339
2018-03-31,"BTC-USD",0.05,0.0453140297286852,0.00226570148643426,0.0532181412724639
2018-04-30,"JPM",0.8,0.0500654870379069,0.0400523896303255,0.953430543851117
2018-04-30,"XOM",0.0500000000000004,0.0153603908514817,0.000768019542574089,0.0182823870666203
2018-04-30,"EEM",0.05,-0.0062548249448677,-0.000312741247243385,-0.00744467584071872
2018-04-30,"GLD",0.0500000000000002,-0.0158992185815753,-0.000794960929078766,-0.0189237156121663
2018-04-30,"BTC-USD",0.05,0.0459201105921449,0.00229600552960725,0.0546554605351476
2018-05-31,"JPM",0.8,0.0506513414881039,0.0405210731904831,0.935776315061
2018-05-31,"XOM",0.0500000000000001,0.0120259004727298,0.000601295023636489,0.0138860498298752
2018-05-31,"EEM",0.05,-0.00382547281851267,-0.000191273640925634,-0.00441719156924323
2018-05-31,"GLD",0.0500000000000001,-0.014558610255106,-0.0007279305127553,-0.01681051559628
2018-05-31,"BTC-USD",0.05,0.0619785823928227,0.00309892911964114,0.0715653422746486
2018-06-30,"JPM",0.799999999999999,0.0496047742952702,0.0396838194362161,0.899754408323252
2018-06-30,"XOM",0.0499999999999999,0.0129839218760331,0.000649196093801655,0.0147192748974964
2018-06-30,"EEM",0.05,0.00102928716210988,5.14643581054942e-05,0.001166855502691
2018-06-30,"GLD",0.0500000000000009,-0.00838832296835964,-0.00041941614841799,-0.00950945583923936
2018-06-30,"BTC-USD",0.0500000000000001,0.0828020873926799,0.004140104369634,0.0938689171158002
2018-07-31,"JPM",0.799999999999998,0.0525127486603199,0.0420101989282559,0.904990208255174
2018-07-31,"XOM",0.0500000000000002,0.0113511305412439,0.000567556527062195,0.0122263905605344
2018-07-31,"EEM",0.0500000000000001,0.00256683134284971,0.000128341567142486,0.00276475390593671
2018-07-31,"GLD",0.0500000000000013,-0.0092046392216568,-0.000460231961082852,-0.00991438814696776
2018-07-31,"BTC-USD",0.0500000000000001,0.0834949300882244,0.00417474650441122,0.0899330354253224
2018-08-31,"JPM",0.799999999999997,0.0525985518393658,0.0420788414714925,0.89323344891423
2018-08-31,"XOM",0.0499999999999999,0.0115427861901926,0.000577139309509629,0.0122512910980811
2018-08-31,"EEM",0.0500000000000001,0.00428973893489865,0.000214486946744933,0.00455304634082797
2018-08-31,"GLD",0.0500000000000013,-0.00817421840182773,-0.000408710920091397,-0.00867595808238867
2018-08-31,"BTC-USD",0.0500000000000001,0.092933823655578,0.00464669118277891,0.0986381717292495
2018-09-30,"JPM",0.8,0.0526476071784987,0.042118085742799,0.889827338589442
2018-09-30,"XOM",0.0500000000000001,0.00929858786366661,0.000464929393183331,0.00982254718542283
2018-09-30,"EEM",0.05,0.00532180052914848,0.000266090026457424,0.0056216747720612
2018-09-30,"GLD",0.0500000000000006,-0.00769742279118673,-0.000384871139559342,-0.00813115923419019
2018-09-30,"BTC-USD",0.05,0.097372809512632,0.00486864047563161,0.102859598687265
2018-10-31,"JPM",0.8,0.0534527887140567,0.0427622309712454,0.878420543334193
2018-10-31,"XOM",0.05,0.0130116067726855,0.000650580338634273,0.0133642029792586
2018-10-31,"EEM",0.05,0.0101216116741243,0.000506080583706213,0.0103958930863319
2018-10-31,"GLD",0.0499999999999997,-0.0083486714264302,-0.000417433571321507,-0.00857490865649034
2018-10-31,"BTC-USD",0.05,0.103587202063904,0.00517936010319522,0.106394269256707
2018-11-30,"JPM",0.8,0.0451636175421691,0.0361308940337353,0.82388173361934
2018-11-30,"XOM",0.0500000000000001,0.00858354069031752,0.000429177034515876,0.00978639274456925
2018-11-30,"EEM",0.0500000000000001,0.0155423382165823,0.000777116910829116,0.0177203593999361
2018-11-30,"GLD",0.0499999999999996,-0.000775450020219557,-3.87725010109776e-05,-0.000884117490141701
2018-11-30,"BTC-USD",0.05,0.131121024001359,0.00655605120006793,0.149495631726296
2018-12-31,"JPM",0.476369490279253,0.045467098382695,0.0216591384810411,0.526277924656255
2018-12-31,"XOM",0.05,0.0202532931355949,0.00101266465677974,0.0246059211639135
2018-12-31,"EEM",0.373630509720747,0.0295452945710877,0.0110390234704451,0.268228321608584
2018-12-31,"GLD",0.05,0.000546177890655724,2.73088945327862e-05,0.000663556786986316
2018-12-31,"BTC-USD",0.05,0.148343769099047,0.00741718845495232,0.180224275784261
2019-01-31,"JPM",0.800000000000001,0.0526404682473799,0.042112374597904,0.841624981470641
2019-01-31,"XOM",0.0500000000000001,0.0224765429722748,0.00112382714861374,0.0224599304161613
2019-01-31,"EEM",0.05,0.0238403751037822,0.00119201875518911,0.023822754530651
2019-01-31,"GLD",0.0499999999999999,-0.00248106732684763,-0.000124053366342381,-0.00247923355417896
2019-01-31,"BTC-USD",0.05,0.114656310346202,0.00573281551731009,0.114571567136726
2019-02-28,"JPM",0.671018800425625,0.0497675724631408,0.0333949767743121,0.733354452608016
2019-02-28,"XOM",0.05,0.0251152277215035,0.00125576138607518,0.0275765487161478
2019-02-28,"EEM",0.178981199574375,0.0280451795112516,0.0050195598712025,0.110229649403752
2019-02-28,"GLD",0.0499999999999998,-0.00232241870771842,-0.000116120935385921,-0.00255001839293918
2019-02-28,"BTC-USD",0.05,0.11966232334067,0.00598311616703348,0.131389367665023
2019-03-31,"JPM",0.8,0.0510853827139754,0.0408683061711803,0.843233938940328
2019-03-31,"XOM",0.05,0.0241476046217564,0.00120738023108782,0.0249118224717818
2019-03-31,"EEM",0.05,0.0250417519848176,0.00125208759924088,0.0258342676054131
2019-03-31,"GLD",0.05,-0.00371883965421336,-0.000185941982710668,-0.00383653263824422
2019-03-31,"BTC-USD",0.05,0.106486445042974,0.00532432225214872,0.109856503620721
2019-04-30,"JPM",0.800000000000001,0.0590166776290454,0.0472133421032364,0.859128639169041
2019-04-30,"XOM",0.0500000000000001,0.0202190366050248,0.00101095183025124,0.0183960217916805
2019-04-30,"EEM",0.0499999999999998,0.023807182767007,0.00119035913835034,0.0216606488991437
2019-04-30,"GLD",0.0500000000000003,-0.0039668258769676,-0.000198341293848381,-0.00360916381438089
2019-04-30,"BTC-USD",0.05,0.114772082217198,0.00573860411085988,0.104423853954515
2019-05-31,"JPM",0.8,0.0612664248896384,0.0490131399117107,0.869930670567498
2019-05-31,"XOM",0.0500000000000001,0.025123157514616,0.0012561578757308,0.0222954551604241
2019-05-31,"EEM",0.0499999999999998,0.0276033463914921,0.0013801673195746,0.0244964897979533
2019-05-31,"GLD",0.05,-0.00475191696208867,-0.000237595848104434,-0.0042170715003745
2019-05-31,"BTC-USD",0.05,0.0985912592179247,0.00492956296089623,0.0874944559744995
2019-06-30,"JPM",0.8,0.0583350854173943,0.0466680683339154,0.847763459776123
2019-06-30,"XOM",0.0500000000000001,0.0289935825483743,0.00144967912741872,0.026334601720221
2019-06-30,"EEM",0.0499999999999999,0.0303179384232936,0.00151589692116467,0.0275375018600586
2019-06-30,"GLD",0.05,-0.000161794897847291,-8.08974489236456e-06,-0.000146956802873992
2019-06-30,"BTC-USD",0.05,0.10845799941043,0.00542289997052149,0.0985113934464709
2019-07-31,"JPM",0.8,0.0586212819021852,0.0468970255217482,0.850811579949479
2019-07-31,"XOM",0.0500000000000002,0.0286315054577358,0.0014315752728868,0.0259718139091056
2019-07-31,"EEM",0.05,0.0297888139134852,0.00148944069567426,0.027021615495422
2019-07-31,"GLD",0.0500000000000002,-0.000269747740085567,-1.34873870042784e-05,-0.000244689826675226
2019-07-31,"BTC-USD",0.05,0.106315763983949,0.00531578819919746,0.0964396804726688
2019-08-31,"JPM",0.675865490135421,0.059312920392577,0.0400875560124922,0.822901323333756
