"asset","avg_target_weight","max_target_weight","min_target_weight","median_target_weight"
"JPM",0.452172410206212,0.800000000000004,0.0499999999999991,0.521410577427035
"XOM",0.250818555267945,0.800000000000002,0.0499999999999993,0.0500000000000001
"EEM",0.0547643337820539,0.373630509720747,0.049999999999999,0.05
"GLD",0.19224470074379,0.800000000000001,0.0499999999999978,0.05
"BTC-USD",0.05,0.0500000000000002,0.0499999999999999,0.05
"ALL_ASSETS_MAX_SINGLE_WEIGHT",0.746951190816454,0.800000000000004,0.429488945807317,0.8
"N_EFF",1.73155461046964,2.71156805523147,1.53846153846152,1.53846153846154
