"date","JPM","XOM","EEM","GLD","BTC.USD"
2018-01-31,0,0,0,0,0
2018-02-28,0.807280806861602,0.0442866601022063,0.0475488489396263,0.0494803315766939,0.0514033525198716
2018-03-31,0.805967947889054,0.0521167288741241,0.053192522707212,0.053240438437652,0.0354823620919575
2018-04-30,0.786057469337882,0.0514951352403964,0.0480234717425556,0.0489440390654159,0.0654798846137498
2018-05-31,0.804358194456725,0.0539390750268252,0.0497642356264786,0.0504927539644162,0.0414457409255554
2018-06-30,0.804282616022843,0.0525700432714322,0.0492766001890057,0.0497570866886643,0.0441136538280548
2018-07-31,0.808144664525052,0.0448664915551408,0.047146005944551,0.0445171176840159,0.05532572029124
2018-08-31,0.80598155795653,0.0502183939819709,0.0486326589513045,0.049455990588072,0.0457113985221221
2018-09-30,0.797962340799697,0.0537053354712267,0.050348414006964,0.0503070775885207,0.0476768321335918
2018-10-31,0.802778474243398,0.0483315050471269,0.0470527530355017,0.0526636423364736,0.0491736253374998
2018-11-30,0.815327305102953,0.0503559219400999,0.0524131371073179,0.0501326672632081,0.0317709685864215
2018-12-31,0.786909880637832,0.0480491206350002,0.0540641338867827,0.058787003305796,0.0521898615345895
2019-01-31,0.474608687471307,0.0500855281853891,0.384295088458328,0.0479519511913912,0.0430587446935843
2019-02-28,0.794069564271258,0.0536718447366305,0.0484666506939595,0.0489205191600089,0.0548714211381434
2019-03-31,0.660489685497239,0.051873496588727,0.183674057262148,0.0499269314887685,0.0540358291631183
2019-04-30,0.810769735761638,0.0435839934998852,0.044898582066064,0.0435750893607418,0.0571725993116713
2019-05-31,0.766979217531989,0.0468121467167829,0.0486526932311589,0.0534235860463988,0.0841323564736705
2019-06-30,0.790041451533624,0.0506733204062952,0.049703396530984,0.0505435050102537,0.0590383265188427
2019-07-31,0.811785109069292,0.0471174647322993,0.0472658180374203,0.0485594605526424,0.0452721476083459
2019-08-31,0.794118471749025,0.0488623909764316,0.0504239857148151,0.0565528800210088,0.0500422715387201
2019-09-30,0.697718245338625,0.0496812121831704,0.0489977751638477,0.162108258841454,0.0414945084729026
2019-10-31,0.748801956205796,0.0451366503242677,0.0491408467461911,0.104602355696628,0.0523181910271167
2019-11-30,0.691275289050802,0.0498717831812356,0.0488265582195504,0.169812992716854,0.0402133768315577
2019-12-31,0.805463727113188,0.048734826980056,0.0512606927251739,0.0493220136713833,0.045218739510199
2020-01-31,0.785565357765366,0.0457392993229053,0.0482190140027371,0.0536913065733611,0.0667850223356301
2020-02-29,0.393907706993337,0.0450638023797108,0.051624026706713,0.460063782457963,0.0493406814622762
2020-03-31,0.0406621681931418,0.0387090508197558,0.0441712523214779,0.837193606078999,0.0392639225866258
2020-04-30,0.0491208636812371,0.0559385793695307,0.0490680380965658,0.784407164506218,0.0614653543464485
2020-05-31,0.0494490248834969,0.0485374550579802,0.0501089991785874,0.798733035321888,0.0531714855580471
2020-06-30,0.0473359235644061,0.0481637343499046,0.0522060233990148,0.804995045074197,0.0472992736124781
2020-07-31,0.0470995422156144,0.042719598886629,0.0491461387118513,0.804777042474129,0.0562576777117762
2020-08-31,0.0518023518999021,0.0483613580738602,0.0514096557333588,0.796882889867495,0.0515437444253834
2020-09-30,0.0503968759841524,0.0450819677034733,0.0519190573004435,0.804177805413434,0.0484242935984965
2020-10-31,0.0509161415363946,0.0470697588794729,0.0502338422695263,0.788478942639508,0.063301314675098
2020-11-30,0.0599739658319076,0.0597121098516218,0.0543647810954275,0.754913957015883,0.0710351862051596
2020-12-31,0.049379227669275,0.049520221935372,0.0490738836954609,0.784334716976499,0.0676919497233931
2021-01-31,0.127932363786922,0.054821253372927,0.0519950092917563,0.707709491171687,0.0575418823767079
2021-02-28,0.179507589787351,0.0610626912211385,0.0499087791354956,0.642022686273891,0.0674982535821238
2021-03-31,0.507743086965036,0.0498625505071337,0.0482061361948029,0.330804144747828,0.0633840815851994
2021-04-30,0.612195170077583,0.0502917614117315,0.0496414833481849,0.239791632711501,0.0480799524509999
2021-05-31,0.323121554451,0.049393548218338,0.0485289682498697,0.548093012663681,0.0308629164171115
2021-06-30,0.519597093824155,0.0568585703110555,0.0531131456182428,0.321048230882459,0.0493829593640887
2021-07-31,0.595791400557941,0.045779878154079,0.0469325612756341,0.251907670706112,0.0595884893062339
2021-08-31,0.431154080109469,0.0467669661686123,0.0494105787390006,0.417546484474094,0.0551218905088245
2021-09-30,0.806191850615141,0.0531189749519045,0.04732869041053,0.047648617816696,0.0457118662057284
2021-10-31,0.72943031900228,0.0517181122475339,0.0476914078596116,0.105087638171312,0.0660725227192633
2021-11-30,0.701858682365753,0.0498046753670506,0.0507838674737265,0.148330696074106,0.0492220787193641
2021-12-31,0.350748666655546,0.0507337435838888,0.0503621519863602,0.507852818929072,0.0403026188451323
2022-01-31,0.215856015864064,0.0632993664469651,0.0509807255403033,0.627487521329137,0.0423763708195306
2022-02-28,0.0456386094579266,0.475278715432488,0.0457609666495754,0.379640727992825,0.0536809804671849
2022-03-31,0.0463326850800342,0.691122311216735,0.046565682970387,0.165167038203902,0.0508122825289422
2022-04-30,0.043789600284384,0.819881724504974,0.0465980484525107,0.0486159637843851,0.0411146629737463
2022-05-31,0.0500678548667043,0.822641867079706,0.045472004401768,0.0437206965276212,0.0380975771242006
2022-06-30,0.0481686002045294,0.807313820264588,0.0536437561618311,0.0556752605642455,0.0351985628048064
2022-07-31,0.0463591526524579,0.812333004006952,0.0447006339917322,0.0436962612732058,0.0529109480756525
2022-08-31,0.0499568503527074,0.807325722590084,0.0500007604518481,0.0491813764727515,0.0435352901326093
2022-09-30,0.0500518355521323,0.796068183331629,0.048186843524154,0.0528994135342566,0.0527937240578282
2022-10-31,0.0495281478032489,0.827519447903089,0.0399453095679027,0.0400242844516545,0.0429828102741048
2022-11-30,0.0538565756199955,0.795105470223434,0.0567111195339696,0.0532288980451272,0.0410979365774733
2022-12-31,0.0490440843009868,0.8010271898325,0.0492033411202834,0.0520172827169587,0.0487081020292709
2023-01-31,0.0490694429700666,0.785379988919734,0.0509308972591941,0.0493580914680623,0.0652615793829426
2023-02-28,0.0534268004819121,0.796812508156128,0.0482157606831377,0.0493634103742635,0.0521815203045583
2023-03-31,0.044969860109661,0.789718977417336,0.051061591355849,0.0533860573693354,0.060863513747818
2023-04-30,0.0500467259237267,0.808216621450108,0.0464170263136854,0.0472121360439533,0.0481074902685268
2023-05-31,0.0551230167482875,0.782458625555838,0.0548017694597771,0.0553971176194954,0.0522194706166021
2023-06-30,0.051016071373958,0.799441089321599,0.049697074784744,0.0465456414204104,0.0533001230992884
2023-07-31,0.0543120635560936,0.794584547249121,0.0526667258471227,0.0508028566337438,0.0476338067139193
2023-08-31,0.0452777465498104,0.817472493834935,0.0456373365320621,0.0482518141461285,0.0433606089370639
2023-09-30,0.0474826883259556,0.810640698503911,0.0464193288014274,0.0456307271043778,0.0498265572643281
2023-10-31,0.051667354113828,0.770418171371372,0.0517253484639408,0.0574304019644776,0.0687587240863817
2023-11-30,0.056160712279149,0.784168794344891,0.0539358832371218,0.0513031873776423,0.0544314227611959
2023-12-31,0.054960679196659,0.785214968250598,0.0522287126925104,0.0510772751398953,0.0565183647203377
2024-01-31,0.0504772318042773,0.805240251300197,0.0467269458125617,0.0482458248278229,0.0493097462551413
2024-02-29,0.0508924327275176,0.78297621957054,0.0496798561126357,0.0479098104252021,0.0685416811641051
