"asset","total_return_contribution","share_of_total_portfolio_return","total_portfolio_return"
"JPM",1.52693898610381,0.509227618832363,2.99853921828712
"XOM",0.732823353929055,0.244393453138716,2.99853921828712
"EEM",0.0892878823776539,0.0297771267532924,2.99853921828712
"GLD",0.3454076256316,0.115191965316001,2.99853921828712
"BTC-USD",0.304081370245006,0.101409835959627,2.99853921828712
