"ticker","source","requested_start","requested_end","actual_first_observation","actual_last_observation","n_observations","download_timestamp_utc","price_convention"
"JPM","Yahoo Finance (quantmod::getSymbols)",2016-01-01,2025-12-31,"2016-01-04","2025-12-31",2514,"2026-09-14 04:50:08 UTC","Adjusted close (dividend- and split-adjusted, quantmod::Ad())"
"XOM","Yahoo Finance (quantmod::getSymbols)",2016-01-01,2025-12-31,"2016-01-04","2025-12-31",2514,"2026-09-14 04:50:09 UTC","Adjusted close (dividend- and split-adjusted, quantmod::Ad())"
"EEM","Yahoo Finance (quantmod::getSymbols)",2016-01-01,2025-12-31,"2016-01-04","2025-12-31",2514,"2026-09-14 04:50:09 UTC","Adjusted close (dividend- and split-adjusted, quantmod::Ad())"
"GLD","Yahoo Finance (quantmod::getSymbols)",2016-01-01,2025-12-31,"2016-01-04","2025-12-31",2514,"2026-09-14 04:50:09 UTC","Adjusted close (dividend- and split-adjusted, quantmod::Ad())"
"BTC-USD","Yahoo Finance (quantmod::getSymbols)",2016-01-01,2025-12-31,"2016-01-01","2026-01-01",3654,"2026-09-14 04:50:10 UTC","Adjusted close (dividend- and split-adjusted, quantmod::Ad())"
"SPY","Yahoo Finance (quantmod::getSymbols)",2016-01-01,2025-12-31,"2016-01-04","2025-12-31",2514,"2026-09-14 04:50:10 UTC","Adjusted close (dividend- and split-adjusted, quantmod::Ad())"
"ACWI","Yahoo Finance (quantmod::getSymbols)",2016-01-01,2025-12-31,"2016-01-04","2025-12-31",2514,"2026-09-14 04:50:10 UTC","Adjusted close (dividend- and split-adjusted, quantmod::Ad())"
"AOR","Yahoo Finance (quantmod::getSymbols)",2016-01-01,2025-12-31,"2016-01-04","2025-12-31",2514,"2026-09-14 04:50:10 UTC","Adjusted close (dividend- and split-adjusted, quantmod::Ad())"
