"date","JPM","XOM","EEM","GLD","BTC.USD"
2018-01-31,0.799999999999997,0.05,0.0500000000000005,0.0499999999999978,0.0500000000000001
2018-02-28,0.8,0.0500000000000002,0.05,0.0500000000000001,0.0499999999999999
2018-03-31,0.8,0.0499999999999999,0.05,0.0500000000000002,0.05
2018-04-30,0.8,0.0500000000000004,0.05,0.0500000000000002,0.05
2018-05-31,0.8,0.0500000000000001,0.05,0.0500000000000001,0.05
2018-06-30,0.799999999999999,0.0499999999999999,0.05,0.0500000000000009,0.0500000000000001
2018-07-31,0.799999999999998,0.0500000000000002,0.0500000000000001,0.0500000000000013,0.0500000000000001
2018-08-31,0.799999999999997,0.0499999999999999,0.0500000000000001,0.0500000000000013,0.0500000000000001
2018-09-30,0.8,0.0500000000000001,0.05,0.0500000000000006,0.05
2018-10-31,0.8,0.05,0.05,0.0499999999999997,0.05
2018-11-30,0.8,0.0500000000000001,0.0500000000000001,0.0499999999999996,0.05
2018-12-31,0.476369490279253,0.05,0.373630509720747,0.05,0.05
2019-01-31,0.800000000000001,0.0500000000000001,0.05,0.0499999999999999,0.05
2019-02-28,0.671018800425625,0.05,0.178981199574375,0.0499999999999998,0.05
2019-03-31,0.8,0.05,0.05,0.05,0.05
2019-04-30,0.800000000000001,0.0500000000000001,0.0499999999999998,0.0500000000000003,0.05
2019-05-31,0.8,0.0500000000000001,0.0499999999999998,0.05,0.05
2019-06-30,0.8,0.0500000000000001,0.0499999999999999,0.05,0.05
2019-07-31,0.8,0.0500000000000002,0.05,0.0500000000000002,0.05
2019-08-31,0.675865490135421,0.05,0.05,0.174134509864579,0.05
2019-09-30,0.741887272146712,0.05,0.0499999999999994,0.108112727853289,0.05
2019-10-31,0.670510121700093,0.0500000000000001,0.0499999999999998,0.179489878299907,0.05
2019-11-30,0.8,0.0499999999999996,0.0500000000000002,0.05,0.05
2019-12-31,0.8,0.0499999999999999,0.0499999999999998,0.05,0.05
2020-01-31,0.418488826819256,0.0500000000000002,0.0499999999999995,0.431511173180744,0.05
2020-02-29,0.05,0.0500000000000002,0.05,0.8,0.05
2020-03-31,0.05,0.0499999999999996,0.0499999999999998,0.8,0.05
2020-04-30,0.05,0.0500000000000001,0.0499999999999996,0.8,0.05
2020-05-31,0.05,0.0500000000000002,0.05,0.8,0.05
2020-06-30,0.05,0.05,0.05,0.8,0.05
2020-07-31,0.0500000000000001,0.0499999999999998,0.05,0.8,0.05
2020-08-31,0.0500000000000001,0.0499999999999998,0.05,0.8,0.05
2020-09-30,0.05,0.0500000000000003,0.05,0.8,0.05
2020-10-31,0.0499999999999998,0.0499999999999993,0.05,0.800000000000001,0.05
2020-11-30,0.0499999999999997,0.0500000000000001,0.05,0.8,0.0500000000000001
2020-12-31,0.124453815892868,0.0499999999999996,0.05,0.725546184107132,0.0500000000000001
2021-01-31,0.158468157887318,0.0499999999999997,0.0500000000000001,0.691531842112683,0.0500000000000002
2021-02-28,0.505436939160214,0.05,0.0500000000000001,0.344563060839786,0.0500000000000001
2021-03-31,0.613988628820953,0.0499999999999998,0.05,0.236011371179047,0.05
2021-04-30,0.316914707448428,0.0500000000000002,0.05,0.533085292551572,0.0500000000000001
2021-05-31,0.521410577427035,0.05,0.0500000000000002,0.328589422572965,0.0500000000000001
2021-06-30,0.60509850287603,0.05,0.0499999999999997,0.24490149712397,0.0500000000000001
2021-07-31,0.420511054192683,0.0499999999999999,0.0500000000000001,0.429488945807317,0.05
2021-08-31,0.8,0.0499999999999998,0.05,0.05,0.05
2021-09-30,0.740268216397116,0.0500000000000001,0.05,0.109731783602884,0.0500000000000001
2021-10-31,0.708951059948315,0.05,0.0500000000000001,0.141048940051685,0.0500000000000001
2021-11-30,0.354546014328261,0.05,0.0500000000000001,0.495453985671739,0.0500000000000001
2021-12-31,0.224203854854719,0.0499999999999999,0.05,0.625796145145281,0.05
